MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,price
0.6564682513404374,0.21451893694025537,0.14492425182232693,0.7431193229011442,0.9092884927600762,0.011460250246734471,0.9055435337338649,0.5259133783447518,0.45934431763972616
0.945254727041606,0.21199866741224738,0.01706403728115702,0.739245318062945,0.38168089547085293,0.7306106365218089,0.5403258117604216,0.4735212903282182,0.45920834199536564
0.2100756371645517,0.019826610044611837,0.9393001792993503,0.6823139945649314,0.9948373689395117,0.5547519872162542,0.20734001953327608,0.6508928523772491,0.3154238156195823
0.7931906716930609,0.7815301931457252,0.9309550567549285,0.9814782460269357,0.28474212227947016,0.27272386813013105,0.24049706964309014,0.5379062819944506,0.792366506315154
0.7932726316045465,0.30463071671040653,0.09582495024609017,0.4673064835771834,0.9052032625739275,0.9678165353631857,0.5117300297978887,0.047869854590284366,0.7502812672632369
0.3987822764704201,0.8123071423203697,0.8572226294974185,0.585265934607122,0.41774118695698725,0.6210992255617538,0.557273365981073,0.63789217562364,0.8548517665199187
0.10189820300739227,0.33559548058426747,0.5166822017407927,0.09119834413835959,0.7502541337131898,0.7084893598644675,0.05818749927066136,0.43176187212921935,0.99794263616078
0.4593592505053624,0.6321964316414709,0.17834114564325365,0.5893208623487378,0.23561043075169075,0.6763524832832979,0.7032237339602546,0.4679836236356071,0.49510932670317087
0.8892695553553748,0.7918817824782308,0.7078174938934605,0.23015934071630395,0.9781145205848444,0.4056089340594248,0.3427733101630286,0.3647995446147533,0.24590290810924986
0.7372837668646849,0.055285399127611434,0.33490903174580744,0.6482291676291116,0.22859810231905342,0.851430320362861,0.3154237219535929,0.8989397776437037,0.0015218872925054638
0.8534363890334881,0.7848574003503401,0.24531387920080627,0.31677488847763047,0.816586773711726,0.5492022473413581,0.9820866060915651,0.6008496784425874,0.6860679150468869
0.7968327271504999,0.04302545702611704,0.4472052209999804,0.07826172076563997,0.28133827647228593,0.9726618979489307,0.020752359647738028,0.7676504758078609,0.6187043538824738
0.24472387131946038,0.6008364824846266,0.2677963952896478,0.6832300797324768,0.5052000579045836,0.6110437971195346,0.76595049359019,0.01598006967967336,0.6988283208934164
0.8503128669289571,0.9016453462657019,0.6649495910772864,0.41815615844118914,0.011681917177232659,0.7847973281267517,0.5871227937895475,0.9626422356174338,0.8324808289016253
0.5230966250953026,0.14568147139415388,0.6362288151093107,0.20847120537822217,0.9806096386296629,0.5852503748972678,0.10109361535175743,0.2806491380012568,0.66308430854347
0.873470528413632,0.20358413902970818,0.18407365285269428,0.9415541180049725,0.9120026500598026,0.46165177440890637,0.3094758559009253,0.8496131719166152,0.9374540162148765
0.423399404100553,0.8290137289040983,0.36385830667225727,0.3834619025713354,0.3841885867790612,0.7943760946938416,0.5615170222796229,0.5302702852817577,0.07217331963128515
0.126272320248913,0.7961970678587148,0.547877333741341,0.8211189899879667,0.39054460452741835,0.20740352009589447,0.5465273403903974,0.7966321535995836,0.29392715332817765
